,quant_tracking,quant_tracking_bounded,quant_tracking_monotonic,quant_tracking_proj
0.01,3.6582932399029794e-06,6.651442252449818e-07,0.009373655854377763,0.006457441855308823
0.02,2.568755644933446e-06,0.04248045271014918,0.010372240015390204,0.012024790843494542
0.03,2.4007899316058623e-06,0.11053304031154712,0.010674639887109011,0.016758824974575565
0.04,2.8285426151089532e-06,0.15655959860225652,0.010784480505563375,0.020768184472040006
0.05,1.8498623913093537e-06,0.18473368588216826,0.010948862950503638,0.022739763777499714
0.06,1.2653417092584052e-07,0.20348678121032504,0.011176434096860761,0.025685225086373616
0.07,4.659368892337423e-06,0.21758043038190705,0.011287605003765841,0.028601974336182653
0.08,2.9046870721055607e-06,0.225904951114139,0.011385583883533043,0.030794603239229876
0.09,2.812865815243759e-06,0.2306859159853417,0.011493207354569074,0.03272782589435588
0.1,2.8218239882249474e-07,0.2334502744223828,0.011693840159795757,0.03495681601506047
0.11,3.0726527856378416e-06,0.23433870442894233,0.011841815713842033,0.03610583362839305
0.12,2.64825941603819e-06,0.23532125234340168,0.011980479248731746,0.036195609062713296
0.13,3.1107250139106313e-06,0.23500355415449758,0.01215428457019918,0.03555450185064635
0.14,2.132044790104093e-06,0.235343905319295,0.012183864452116888,0.034197256022522715
0.15,7.312107394019662e-07,0.23538815644640088,0.012277187322306427,0.03333543178498066
0.16,2.7244038729168363e-06,0.23443236323055847,0.012230608190411246,0.032325280385165606
0.17,3.4085842125775034e-06,0.23287527963491864,0.01235862941769414,0.03091981160069754
0.18,8.779007959203167e-07,0.23129014912443954,0.012337104051624276,0.02989214473627913
0.19,1.8946532481245448e-06,0.22854168136366665,0.012475767586514197,0.027786389939794487
0.2,2.46797621694661e-06,0.22569188996588496,0.01243007531358642,0.026704513821002807
0.21,2.1544402183937272e-06,0.22244545089499973,0.012513642735135944,0.02506790741819459
0.22,1.8409042198685999e-06,0.21783092100975623,0.01255508435574057,0.02338629292279823
0.23,3.522800897631795e-06,0.213341770811008,0.01253854757136122,0.022018072214954915
0.24,2.2115485610874064e-06,0.20800445086745326,0.012461482662467022,0.02028346789626531
0.25,3.1174436423420104e-06,0.20214698813960497,0.012443837304378702,0.018963470144766292
0.26,3.46905186937585e-06,0.19628198711053507,0.012342272916514074,0.018392092218999456
0.27,2.822943758196139e-06,0.18988997014017528,0.012255009129496508,0.017034624676134147
0.28,3.507124097745784e-06,0.18282892893639408,0.01207872687364081,0.01668584835114778
0.29,3.193588099192901e-06,0.1755240015166184,0.011954104152627654,0.015956609529209964
0.3,3.3234815844940258e-06,0.16858268627341644,0.011756315566816,0.015004769106491733
0.31,1.7905145058283445e-06,0.16104872752534777,0.011666391202896531,0.013610718631227259
0.32,3.6941259253797654e-06,0.15348084642178172,0.011500086110422414,0.011898840073573447
0.33,2.826303072522851e-06,0.14569147229114415,0.011387657700208942,0.011022493520442656
0.34,2.4019097029093217e-06,0.138142658655374,0.0111733513661324,0.009915452778455291
0.35,3.3078047842471925e-06,0.13021692995852135,0.011040857771784707,0.00915971904487084
0.36,2.1074098187634505e-06,0.12191428620058642,0.01087034009921628,0.008219407788726985
0.37,3.3458770128946824e-06,0.11381140742502527,0.010797931199899913,0.006740107995235056
0.38,3.5866278688678754e-06,0.10589210845568525,0.01065856444855623,0.005723194295794765
0.39,3.7165213538914443e-06,0.09725689258503045,0.010474633034108116,0.004712377751754149
0.4,2.0726969044981836e-06,0.08867078652968724,0.010265758711205775,0.004023491012826452
0.41,1.980875647955571e-06,0.08043554405326359,0.010019082024824377,0.0038997551507805595
0.42,2.665055987505216e-06,0.07195563935924892,0.009763536748770563,0.0031783872021771686
0.43,2.794949472584296e-06,0.06327608054023154,0.009575947041082389,0.00272141408318588
0.44,2.4814134741424354e-06,0.0547815426732573,0.00931796290286846,0.0022974764607250897
0.45,2.5004495883274025e-06,0.04584036045890022,0.00908458910099591,0.002419067960495347
0.46,3.295487298715649e-06,0.037027772794794966,0.008841903279967367,0.0023995380271015776
0.47,3.2036660420620144e-06,0.028216404561769604,0.008656309004955343,0.0031104473106113306
0.48,2.3358431889830555e-06,0.01965934313760409,0.008425263207871958,0.0032552080009012885
0.49,2.798308786911008e-06,0.010656413367652107,0.008243548940841894,0.002853330995250647
0.5,3.593346497410277e-06,0.002012772336808466,0.00799775911342776,0.0024564425712909066
0.5,3.3906678696959958e-06,0.00664306300483497,0.0077933190853617385,0.002041151823760523
0.51,2.9662745001379776e-06,0.01492874558502133,0.007589876773633986,0.0017560076296745386
0.52,3.317882727227328e-06,0.02358613292985723,0.007379672162280859,0.0017409119911170334
0.53,3.780348325266303e-06,0.03248773906280056,0.007169689265669521,0.0018449880262840779
