,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.42,2.3323650817359542,2.3209478423436907,2.430349214155751,2.3168263103758377
0.43,2.2745140427280504,2.2820625803343075,2.3920559047377346,2.269258092126983
0.44,2.223694630226147,2.197741686338809,2.3472598610103397,2.2236775757173923
0.45,2.182474916519439,2.1850249697964417,2.298122952799735,2.1841789823420616
0.46,2.13738622690915,2.152153835061419,2.269394114238848,2.1360696526489127
0.47,2.0844162119976093,2.1108780779456118,2.237540845393586,2.094707010953161
0.48,2.040725413953542,2.0572575811470752,2.198971399923845,2.0540357515057535
0.49,1.995550278560094,1.9937217410464427,2.169297184134358,2.0070401894553354
0.5,1.9624880949738748,1.9612838751702466,2.140646226556651,1.973078537137609
0.51,1.9208867547611463,1.9201773790362866,2.0857011010150743,1.9346317156817825
0.52,1.8688781856327619,1.8790923598517248,2.0213826637867833,1.8761275122072258
0.53,1.859019315299528,1.8337442184847041,1.9773261964909448,1.8255555978212208
0.54,1.8070634570145077,1.8009656514769947,1.9270806350008698,1.786135422366756
0.55,1.7607075987294922,1.7595759233617936,1.8740928250180238,1.7414963816169506
0.56,1.7158192103239989,1.707539528340892,1.8363412278098818,1.6998341143090425
0.57,1.670249797822113,1.6690242064017233,1.7907097508889391,1.6635000638297812
0.58,1.6351529756816516,1.6250140867240204,1.760388186444942,1.6223019958237197
0.59,1.5940471173966373,1.581690959279709,1.7247699185284042,1.5852673101919272
0.6,1.5449376446538123,1.5370726021404166,1.6714737512629447,1.5497127051157515
0.61,1.4635965454049147,1.4964555306134715,1.6404505287886708,1.5145158665821175
0.62,1.4908798437464115,1.4700671370587086,1.5951639757402083,1.4808662932851173
0.63,1.4412390457023403,1.4479893077078814,1.5360910595430872,1.4510376245225844
0.64,1.4176226452486569,1.4287679898585084,1.478917578117186,1.4205880275166658
0.65,1.349533052023886,1.360521752470521,1.4294234570492375,1.3752020843543409
0.66,1.3264142419316205,1.3249910164658754,1.3742368122798283,1.3282882510347962
0.67,1.312127660755051,1.2949771611308136,1.3438439965537714,1.287184810840191
0.68,1.2527838506627733,1.2600568735095992,1.2968428559463108,1.247028846339269
0.69,1.2222791971970526,1.2249444532670175,1.2749652917448662,1.2084327725871316
0.7,1.1883040618036074,1.176212123835894,1.2471311416674034,1.170411878838204
0.71,1.1071485047233793,1.1516719385491625,1.1852151992983728,1.1399353710985243
0.72,1.0991577066793454,1.125125133199241,1.1442042957302652,1.1080474954818986
0.73,1.079846727912408,1.084419880886627,1.0990990527763818,1.0757196302690353
0.74,1.026750206976766,1.029379817264675,1.0840967309430614,1.0416504463122023
0.75,1.0141714571255023,0.9931622135606815,1.06031164019369,1.0121097298086228
0.76,0.9711869843826355,0.9737061181145902,1.0330515675996816,0.9804429763951374
