lr,quant_tracking_multi_alpha,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.01831563888873418,1.790657346024108,1.7902281533421038,4.676545238115609,1.7899196560658155
0.024518353159227037,1.8891921168061387,1.889831993755289,4.621941905577575,1.8884092422899266
0.03282165832666321,1.9762728565785077,1.9764235937491421,4.5515860286517675,1.9768539490387567
0.04393693362340742,2.0621715954132425,2.062157846740907,4.463737247655625,2.0632047000230473
0.05881647164242991,2.1381671492925847,2.135016053424338,4.352729144321088,2.137951685244095
0.07873506526686186,2.199728766247666,2.1940159704889015,4.217717370491733,2.1964342282960727
0.10539922456186433,2.2566783804316857,2.259886614434402,4.047014509823219,2.2655336545049884
0.14109338070134153,2.3152847467379845,2.319259147402931,3.8452891711311836,2.3179810503371883
0.18887560283756186,2.3666040733441784,2.3698670056162654,3.613736245691667,2.370502800833693
0.25283959580474646,2.4000471670218495,2.3971342477980384,3.3612651620941496,2.403624605212908
0.3384654251067423,2.4058076041950844,2.412722116058245,3.0834767797515372,2.408879544637347
0.45308901728016904,2.401176855478854,2.3873807507460776,2.8181814362765243,2.3951938843209435
0.6065306597126334,2.3952508819593152,2.3968614719913166,2.583626705708603,2.387783264192874
0.8119363461506353,2.3777173134192178,2.3751624789041332,2.4695060438983987,2.368968975717303
1.0869040495212294,2.349814553360373,2.346337205289967,2.4863658401472097,2.3766678479992662
1.4549914146182013,2.3567428875628456,2.362099699213136,2.5552793322168394,2.344574514544835
1.9477340410546764,2.3815355691299986,2.38781179429223,2.5066123083557392,2.3696685199323517
2.6073472713092687,2.476427839344223,2.3944171818509243,2.468344336380462,2.4456868533456038
3.4903429574618414,2.6673840994406848,2.439550393167437,2.4856136424669133,2.5195836870508597
4.67237107030476,3.0419764027316423,2.764659208439949,2.646164881089237,2.6647993377022456
6.254700951936332,3.647142368425857,3.1642296266913927,2.9264197256272952,2.9115148855170565
8.372897488127265,4.573046710084633,3.697011096831723,3.02448824216673,3.3958943821608827
11.208435524800697,5.875418971976925,4.553945888780054,3.0390126517747893,4.065653828449737
15.004247584752557,7.675497799479016,6.0368851282238625,3.0387775585357693,5.02578293977037
20.085536923187668,10.146107553247367,7.937371787146111,3.03877218666953,6.3358082992872005
