,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.01,0.029864457831325308,0.029864457831325308,0.012469879518072303,0.029864457831325308
0.02,0.03285391566265061,0.03285391566265061,0.015798192771084355,0.03163403614457832
0.03,0.035082831325301204,0.035082831325301204,0.01804216867469879,0.0336671686746988
0.04,0.03530120481927711,0.03530120481927711,0.019231927710843356,0.03530120481927711
0.05,0.0371460843373494,0.03717620481927711,0.02097138554216865,0.03717620481927711
0.06,0.03941265060240962,0.040655120481927695,0.021611445783132496,0.03926957831325299
0.07,0.041566265060240956,0.041566265060240956,0.024254518072289143,0.04225903614457831
0.08,0.04447289156626505,0.043870481927710835,0.02640060240963855,0.04422439759036144
0.09,0.04489457831325302,0.04489457831325302,0.028102409638554232,0.044841867469879525
0.1,0.046069277108433754,0.04564006024096386,0.028682228915662664,0.04670180722891568
0.11,0.04814006024096386,0.04835090361445784,0.031611445783132554,0.04835090361445784
0.12,0.04849397590361446,0.04686746987951808,0.03207831325301207,0.047981927710843385
0.13,0.04849397590361447,0.04881777108433736,0.032823795180722905,0.04731927710843374
0.14,0.046069277108433726,0.04558734939759037,0.033283132530120496,0.045384036144578324
0.15,0.044962349397590355,0.04492469879518072,0.032778614457831326,0.045097891566265064
0.16,0.045361445783132524,0.04548192771084337,0.03096385542168674,0.04594879518072288
0.17,0.04588855421686746,0.04529367469879517,0.03251506024096384,0.04570030120481927
0.18,0.04461596385542167,0.04438253012048191,0.031174698795180696,0.043350903614457814
0.19,0.04198795180722889,0.0417168674698795,0.03225150602409636,0.040587349397590344
0.2,0.041001506024096385,0.04007530120481927,0.03231174698795179,0.038734939759036136
0.21,0.041716867469879515,0.03984186746987951,0.032801204819277105,0.041573795180722885
0.22,0.0394277108433735,0.0389683734939759,0.031137048192771095,0.04071536144578314
0.23,0.038847891566265065,0.03973644578313253,0.032484939759036165,0.03992469879518073
0.24,0.03893825301204821,0.03835090361445784,0.03241716867469882,0.038923192771084344
0.25,0.03710843373493977,0.03827560240963857,0.03090361445783134,0.0390737951807229
0.26,0.035632530120481946,0.03644578313253013,0.02878012048192772,0.03658885542168676
0.27,0.0364382530120482,0.0369277108433735,0.028132530120481926,0.03588102409638555
0.28,0.035015060240963854,0.034661144578313256,0.02719879518072289,0.03704819277108434
0.29,0.03374999999999999,0.034879518072289145,0.02606927710843372,0.035037650602409626
0.3,0.03398343373493975,0.03421686746987951,0.026031626506024086,0.03332078313253012
0.31,0.03321536144578311,0.03306475903614456,0.025745481927710822,0.03305722891566262
0.32,0.03186746987951806,0.03176957831325299,0.02518825301204818,0.03208584337349397
0.33,0.03234939759036144,0.03178463855421686,0.023817771084337344,0.030768072289156616
0.34,0.0319277108433735,0.03121987951807229,0.024224397590361445,0.0321987951807229
0.35,0.0320632530120482,0.03158885542168676,0.022974397590361448,0.030248493975903627
0.36,0.031219879518072296,0.030933734939759046,0.02354668674698796,0.03237951807228917
0.37,0.030798192771084348,0.03127259036144579,0.023057228915662666,0.030956325301204835
0.38,0.029759036144578328,0.030730421686747,0.024194277108433748,0.029887048192771097
0.39,0.02945030120481929,0.029239457831325318,0.023162650602409646,0.028712349397590375
0.4,0.029352409638554226,0.029103915662650606,0.023433734939759046,0.027590361445783133
0.41,0.02897590361445783,0.029841867469879515,0.024141566265060237,0.03100903614457831
0.42,0.02779367469879517,0.02726656626506023,0.023290662650602395,0.02700301204819276
0.43,0.02756024096385541,0.02711596385542167,0.023102409638554196,0.027808734939759026
0.44,0.026430722891566238,0.024420180722891538,0.02263554216867467,0.02830572289156624
0.45,0.025165662650602393,0.025158132530120468,0.021905120481927696,0.027100903614457817
0.46,0.024420180722891562,0.024126506024096384,0.021408132530120475,0.027944277108433724
0.47,0.023561746987951812,0.022756024096385545,0.021573795180722895,0.025090361445783138
0.48,0.0235316265060241,0.02301204819277109,0.021076807228915667,0.02433734939759037
0.49,0.021912650602409645,0.021483433734939765,0.020459337349397602,0.02305722891566266
0.5,0.021784638554216872,0.021649096385542178,0.020685240963855434,0.02096385542168676
0.51,0.022108433734939762,0.02169427710843374,0.021460843373493986,0.022537650602409642
0.52,0.021249999999999998,0.020933734939759033,0.021249999999999998,0.02006024096385542
0.53,0.021106927710843364,0.021144578313253,0.02249246987951806,0.01828313253012047
0.54,0.0203539156626506,0.02037650602409638,0.021182228915662644,0.018531626506024097
0.55,0.019518072289156634,0.01955572289156627,0.020896084337349397,0.018712349397590377
0.56,0.01896837349397591,0.01881024096385543,0.02125753012048193,0.021641566265060256
0.57,0.018772590361445782,0.018237951807228914,0.02176957831325301,0.019879518072289177
0.58,0.018719879518072295,0.018546686746987954,0.021084337349397596,0.017387048192771086
0.59,0.017996987951807233,0.01811746987951807,0.021596385542168674,0.01799698795180723
0.6,0.017274096385542156,0.017650602409638547,0.021046686746987942,0.01767319277108434
0.61,0.016822289156626508,0.017906626506024096,0.021671686746987953,0.016475903614457832
0.62,0.016543674698795186,0.01743975903614458,0.020993975903614466,0.01699548192771085
0.63,0.01622740963855422,0.016822289156626508,0.020278614457831325,0.016603915662650605
0.64,0.016152108433734942,0.01720632530120482,0.020090361445783137,0.016031626506024094
0.65,0.01597138554216866,0.016475903614457818,0.019164156626506022,0.015730421686746984
0.66,0.015512048192771088,0.016144578313253017,0.018501506024096392,0.014397590361445781
0.67,0.015308734939759046,0.01513554216867471,0.018245481927710857,0.014834337349397611
0.68,0.014631024096385555,0.014887048192771103,0.01817771084337351,0.014841867469879545
0.69,0.013832831325301217,0.014013554216867488,0.018283132530120497,0.01483433734939761
0.7,0.013102409638554226,0.01312500000000001,0.017703313253012058,0.018493975903614474
0.71,0.012786144578313256,0.012748493975903621,0.017003012048192778,0.016897590361445797
0.72,0.012981927710843359,0.012944277108433717,0.016603915662650588,0.015496987951807225
0.73,0.012868975903614455,0.012530120481927707,0.016618975903614448,0.014344879518072293
0.74,0.012530120481927717,0.012552710843373501,0.016204819277108443,0.014555722891566269
0.75,0.012341867469879524,0.012424698795180728,0.01569277108433736,0.01572289156626507
0.76,0.01187500000000001,0.011980421686747,0.01556475903614459,0.01535391566265061
0.77,0.0117093373493976,0.011754518072289164,0.01525602409638555,0.014096385542168683
0.78,0.011521084337349403,0.01136295180722892,0.014932228915662654,0.012831325301204824
0.79,0.010391566265060239,0.010481927710843372,0.015512048192771083,0.011686746987951805
0.8,0.010399096385542143,0.01047439759036142,0.014661144578313237,0.01425451807228914
0.81,0.008915662650602403,0.009284638554216858,0.014593373493975895,0.011280120481927693
0.82,0.008780120481927695,0.009216867469879497,0.013968373493975896,0.011265060240963843
0.83,0.008328313253012067,0.008381024096385564,0.012861445783132544,0.009555722891566256
0.84,0.008155120481927739,0.008177710843373525,0.012236445783132563,0.008704819277108436
0.85,0.007371987951807236,0.008034638554216874,0.01141566265060242,0.01075301204819278
0.86,0.007055722891566271,0.007311746987951813,0.009676204819277117,0.008501506024096392
0.87,0.007658132530120489,0.00771837349397591,0.009661144578313262,0.007424698795180729
0.88,0.007078313253012054,0.007500000000000006,0.009186746987951815,0.007567771084337355
0.89,0.006460843373493982,0.007597891566265067,0.008975903614457839,0.006227409638554222
0.9,0.0071987951807228985,0.00633283132530121,0.00841867469879519,0.007274096385542175
0.91,0.00521084337349398,0.006099397590361451,0.00847891566265061,0.005384036144578317
0.92,0.004977409638554211,0.00576807228915662,0.007522590361445777,0.00591114457831324
0.93,0.004563253012048227,0.004600903614457861,0.007402108433734957,0.008064759036144576
0.94,0.004480421686747012,0.004495481927710865,0.006603915662650627,0.007597891566265045
0.95,0.004600903614457879,0.004224397590361503,0.0058885542168675194,0.0072966867469879204
0.96,0.0033207831325301907,0.0036370481927711245,0.004713855421686817,0.005527108433734903
0.97,0.002658132530120484,0.002989457831325304,0.004111445783132534,0.007989457831325309
0.98,0.0020256024096385558,0.001739457831325303,0.003704819277108437,0.005745481927710849
0.99,0.0020180722891566284,0.0019879518072289173,0.002183734939759038,0.004676204819277112
