lr,quant_tracking_multi_alpha,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.01831563888873418,0.07421108677132772,0.07421314044055007,0.25350614579530245,0.07417716319824753
0.024518353159227037,0.0646601557746136,0.06465718936351467,0.2484954971400755,0.06465490750882316
0.03282165832666321,0.055262109042229536,0.05534121333820129,0.2420768680783741,0.05545195935256177
0.04393693362340742,0.04688047645125959,0.04691675794085433,0.2340308963125228,0.0470455306072776
0.05881647164242991,0.03947639041012536,0.039444976877205794,0.22372946330777657,0.03964935499574054
0.07873506526686186,0.033240994280150905,0.03326830047462578,0.21064781854691494,0.03335387002555678
0.10539922456186433,0.028003072897651214,0.02799835706462212,0.19441052087136423,0.02853063770232445
0.14109338070134153,0.02361856516976999,0.023667929292929293,0.17434252160155775,0.024238164780333454
0.18887560283756186,0.019876931970305472,0.020123980771571133,0.1499100188633321,0.020709580747231345
0.25283959580474646,0.016519030668127058,0.016672751612510653,0.12326883290738713,0.017844788243884628
0.3384654251067423,0.013428790921260808,0.013632864792503351,0.09608920530607278,0.015460630400389438
0.45308901728016904,0.010648579165145436,0.01076860472191798,0.07590566812705368,0.013929505902397464
0.6065306597126334,0.008308156869903865,0.008531322258731905,0.06230033771449434,0.01331043872459535
0.8119363461506353,0.006421139101862002,0.006833470244614831,0.05260519350127785,0.013529724960447851
1.0869040495212294,0.004871531580868942,0.005475158208591952,0.04560606060606062,0.015738712425459413
1.4549914146182013,0.003665191067299514,0.004217399902640877,0.043224412802726056,0.016769198004137755
1.9477340410546764,0.0027710082755263636,0.003469940367530742,0.036371242545941346,0.020110365705245218
2.6073472713092687,0.00207009857612269,0.0029184160885968257,0.024960828161129375,0.02079583485456979
3.4903429574618414,0.0015499878301083317,0.002446148229280775,0.01902792990142388,0.022377996835828154
4.67237107030476,0.001183598028477568,0.002242606790799578,0.01747535596933188,0.028135496531580866
6.254700951936332,0.0008874893513447961,0.00207321711086773,0.01569140197152246,0.032422949373250576
8.372897488127265,0.0006626506024096631,0.0018624497991968046,0.018322532554460275,0.03150191675794085
11.208435524800697,0.000492043933309019,0.0018554521114762254,0.01851253498843861,0.032331066691006445
15.004247584752557,0.00037179019106732574,0.0017565717415115195,0.01851253498843861,0.03548428562735791
20.085536923187668,0.00028112449799199465,0.0017709474260679272,0.01851253498843861,0.03806909456005842
