,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_monotonic_fixed,quant_tracking_proj
0.01,0.009284638554216879,0.007228915662650611,0.012530120481927724,0.012786144578313261,0.006295180722891574
0.02,0.013825301204819295,0.013109939759036161,0.014487951807228934,0.015150602409638569,0.00819277108433736
0.03,0.013606927710843392,0.014314759036144598,0.0166039156626506,0.01870481927710844,0.01070030120481929
0.04,0.014676204819277115,0.014819277108433745,0.018795180722891557,0.02325301204819277,0.010941265060240972
0.05,0.013802710843373476,0.013260542168674685,0.02100903614457829,0.026280120481927693,0.014789156626506011
0.06,0.013064759036144543,0.013742469879518035,0.021385542168674665,0.02973644578313251,0.014600903614457804
0.07,0.013079819277108405,0.01293674698795178,0.02294427710843371,0.03518825301204818,0.013388554216867455
0.08,0.011852409638554216,0.013381024096385538,0.02577560240963854,0.03880271084337347,0.0175
0.09,0.01173945783132531,0.012183734939759047,0.026430722891566272,0.04414909638554215,0.01661897590361445
0.1,0.012108433734939769,0.011769578313253022,0.027929216867469905,0.049171686746987936,0.01813253012048194
0.11,0.01075301204819278,0.010316265060240973,0.028185240963855447,0.046265060240963864,0.01725150602409641
0.12,0.011197289156626516,0.011106927710843383,0.03094126506024099,0.04408885542168676,0.013554216867469894
0.13,0.01048945783132531,0.012055722891566274,0.03184487951807231,0.04220632530120483,0.01570030120481929
0.14,0.010210843373493985,0.010707831325301214,0.032176204819277125,0.03964608433734941,0.017108433734939775
0.15,0.010112951807228923,0.009728915662650611,0.031174698795180728,0.041265060240963866,0.014013554216867483
0.16,0.0103765060240964,0.011009036144578327,0.03082831325301204,0.03803463855421687,0.016024096385542176
0.17,0.009540662650602414,0.010881024096385543,0.03073042168674697,0.03745481927710843,0.014698795180722894
0.18,0.009111445783132513,0.009412650602409625,0.030971385542168644,0.03813253012048191,0.009676204819277093
0.19,0.008629518072289134,0.009322289156626482,0.031024096385542148,0.036792168674698776,0.012590361445783103
0.2,0.008712349397590365,0.009359939759036144,0.030203313253012037,0.03589608433734938,0.011054216867469883
0.21,0.009058734939759049,0.008689759036144596,0.030986445783132522,0.03274849397590361,0.014849397590361468
0.22,0.00826054216867471,0.009359939759036158,0.030210843373493983,0.030240963855421684,0.015180722891566295
0.23,0.008283132530120495,0.0089909638554217,0.029954819277108444,0.02855421686746989,0.015218373493975937
0.24,0.008614457831325313,0.009390060240963867,0.028704819277108447,0.02516566265060242,0.019691265060241003
0.25,0.008004518072289163,0.009216867469879524,0.027477409638554235,0.02639307228915664,0.020783132530120502
0.26,0.008516566265060248,0.008569277108433743,0.02722138554216869,0.025248493975903626,0.021649096385542188
0.27,0.008140060240963863,0.008486445783132538,0.027891566265060244,0.028621987951807232,0.01791415662650604
0.28,0.008170180722891572,0.008765060240963863,0.02794427710843373,0.024826807228915657,0.019593373493975923
0.29,0.0077710843373494,0.008599397590361449,0.027740963855421675,0.026596385542168647,0.013983433734939772
0.3,0.00779367469879519,0.007793674698795189,0.02573042168674697,0.024141566265060237,0.015180722891566257
0.31,0.007409638554216846,0.008945783132530095,0.025346385542168646,0.024058734939759005,0.014292168674698763
0.32,0.007703313253012046,0.008591867469879512,0.024088855421686723,0.022176204819277096,0.016701807228915642
0.33,0.007131024096385559,0.008125000000000012,0.02387801204819276,0.021581325301204816,0.015481927710843385
0.34,0.007424698795180741,0.00789156626506026,0.023825301204819273,0.02143072289156627,0.013915662650602451
0.35,0.007266566265060259,0.007462349397590379,0.02311746987951807,0.01923192771084339,0.011174698795180755
0.36,0.007251506024096403,0.007100903614457849,0.023599397590361455,0.01816265060240966,0.010647590361445816
0.37,0.006867469879518078,0.007612951807228923,0.022123493975903626,0.017507530120481937,0.01061746987951808
0.38,0.007078313253012054,0.007409638554216875,0.02234186746987953,0.017786144578313266,0.0098343373493976
0.39,0.0069277108433735005,0.006950301204819283,0.02320030120481929,0.015158132530120489,0.013516566265060254
0.4,0.006724397590361451,0.0072665662650602475,0.022680722891566273,0.017394578313253015,0.015338855421686759
0.41,0.006566265060240968,0.006686746987951814,0.023900602409638556,0.017138554216867462,0.016460843373493992
0.42,0.006581325301204818,0.007093373493975902,0.02269578313253011,0.01725150602409636,0.015549698795180734
0.43,0.006822289156626507,0.007138554216867473,0.02134789156626504,0.020248493975903593,0.015640060240963836
0.44,0.006521084337349382,0.006506024096385521,0.020993975903614428,0.020436746987951775,0.011001506024096356
0.45,0.006573795180722902,0.007161144578313262,0.02123493975903613,0.015986445783132516,0.014322289156626514
0.46,0.006506024096385561,0.007522590361445797,0.019834337349397588,0.015323795180722882,0.01442771084337354
0.47,0.006739457831325319,0.007078313253012063,0.020474397590361446,0.015632530120481925,0.019856927710843426
0.48,0.006340361445783151,0.006596385542168698,0.020240963855421693,0.014246987951807233,0.01126506024096391
0.49,0.006355421686746994,0.006950301204819283,0.020474397590361456,0.013569277108433742,0.008343373493975912
0.5,0.0063177710843373555,0.006739457831325307,0.020090361445783144,0.015210843373493984,0.011121987951807239
0.51,0.006280120481927715,0.006649096385542173,0.019871987951807238,0.019638554216867478,0.012364457831325313
0.52,0.005835843373493975,0.006686746987951807,0.01934487951807229,0.01692018072289156,0.009344879518072294
0.53,0.005828313253012025,0.006716867469879498,0.019374999999999986,0.013147590361445763,0.008667168674698786
0.54,0.00575301204819277,0.0056852409638554246,0.019728915662650597,0.014043674698795186,0.009932228915662667
0.55,0.005911144578313254,0.0058283132530120504,0.02009789156626506,0.012786144578313265,0.010308734939759059
0.56,0.005715361445783135,0.0066415662650602435,0.02095632530120482,0.012093373493975912,0.010022590361445777
0.57,0.005512048192771086,0.005881024096385544,0.021325301204819277,0.012221385542168672,0.010271084337349422
0.58,0.005715361445783134,0.005670180722891573,0.02062499999999999,0.013057228915662645,0.00894578313253015
0.59,0.005519578313253043,0.005805722891566295,0.02082831325301205,0.01355421686746988,0.007688253012048204
0.6,0.005353915662650598,0.0056852409638554185,0.019600903614457824,0.014774096385542166,0.011664156626505998
0.61,0.005135542168674703,0.005301204819277113,0.018998493975903613,0.01587349397590362,0.014118975903614453
0.62,0.005429216867469884,0.005670180722891571,0.017635542168674707,0.015075301204819282,0.014992469879518078
0.63,0.005052710843373499,0.005602409638554222,0.01804969879518073,0.014728915662650607,0.015519578313253027
0.64,0.004932228915662653,0.005429216867469883,0.018275602409638558,0.013998493975903609,0.016453313253012063
0.65,0.005030120481927704,0.005662650602409627,0.01727409638554216,0.011626506024096372,0.013629518072289166
0.66,0.004954819277108468,0.005000000000000031,0.016995481927710842,0.012093373493975912,0.014435240963855442
0.67,0.005045180722891608,0.005609939759036176,0.016972891566265073,0.012695783132530142,0.016890060240963886
0.68,0.005000000000000043,0.005075301204819317,0.017138554216867483,0.015082831325301237,0.01260542168674704
0.69,0.004638554216867513,0.004796686746987993,0.01713855421686749,0.012921686746987964,0.011543674698795236
0.7,0.004781626506024141,0.005707831325301241,0.01719126506024098,0.013584337349397617,0.015037650602409702
0.71,0.004713855421686786,0.005015060240963895,0.017341867469879518,0.017816265060240977,0.012168674698795245
0.72,0.0048268072289156414,0.005263554216867448,0.016656626506024085,0.018644578313253,0.012469879518072251
0.73,0.004548192771084338,0.00493975903614458,0.016159638554216864,0.019382530120481925,0.015903614457831297
0.74,0.004525602409638558,0.004774096385542172,0.015888554216867478,0.02128012048192772,0.011814759036144581
0.75,0.004277108433734944,0.004706325301204823,0.015218373493975914,0.02161144578313254,0.015888554216867485
0.76,0.004292168674698798,0.004631024096385546,0.01490210843373495,0.018230421686747,0.016897590361445797
0.77,0.004028614457831329,0.004570783132530125,0.015052710843373503,0.01930722891566266,0.019706325301204836
0.78,0.004103915662650606,0.004269578313253016,0.015075301204819279,0.017793674698795187,0.01853915662650604
0.79,0.004201807228915663,0.00434487951807229,0.015323795180722887,0.014420180722891555,0.020519578313253024
0.8,0.004134036144578294,0.004503012048192749,0.01378012048192769,0.014164156626506004,0.01901355421686748
0.81,0.003878012048192768,0.00432981927710843,0.012884036144578297,0.014066265060240927,0.019646084337349424
0.82,0.003546686746987948,0.00417168674698795,0.012628012048192753,0.013358433734939714,0.02424698795180726
0.83,0.0036822289156627,0.003953313253012094,0.011987951807228914,0.015730421686746952,0.020587349397590417
0.84,0.0036972891566265558,0.003772590361445827,0.011016566265060262,0.013185240963855389,0.01858433734939767
0.85,0.003516566265060244,0.004194277108433739,0.010143072289156636,0.011980421686747,0.025745481927710836
