,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_monotonic_fixed,quant_tracking_proj
0.25,3.2107240099306877,3.2147044016490476,3.43783923253906,3.0543542478201227,3.1658283797553013
0.26,3.214073874537212,3.149381088152744,3.342310301964573,3.0086541164212486,3.113805460593193
0.27,3.083243016252188,3.071860839037674,3.2909229607601342,2.965112565878275,3.0616420303245557
0.28,3.050074808569574,3.02503453514704,3.2314945793820975,2.922259947540999,3.009030722355526
0.29,2.9373764804050326,2.94453771483783,3.143944539950054,2.87977303112689,2.955392436266953
0.3,2.9285576703127956,2.902359858670362,3.041637592116167,2.8376824602680304,2.9038649895329978
0.31,2.8392087397386168,2.8832241842036574,2.9882629477918194,2.7966649633341754,2.8580990188006408
0.32,2.8449923392849152,2.83656583812068,2.954526883044437,2.755862271671353,2.8088002455562195
0.33,2.752016902686641,2.779944657479386,2.8907717940191993,2.715875980313415,2.758030198343518
0.34,2.7414992974136596,2.750160994314019,2.856865504791099,2.6762921523651872,2.715138399002539
0.35,2.719017836718998,2.687055963008109,2.786450175994246,2.637296042504302,2.675634225632698
0.36,2.6283917977110796,2.6498489422454123,2.730035177838701,2.598956934444708,2.6381369569089745
0.37,2.595115156293589,2.6350696803435145,2.6495096210410036,2.5614794093109405,2.5990176791944006
0.38,2.6173083943940747,2.6011502692138215,2.5970143644970016,2.524802396380303,2.5586203514655637
0.39,2.511429343337962,2.532697844801832,2.568781667508351,2.4886866535086933,2.519346678987138
0.4,2.467947882643299,2.476046922193844,2.5189968865052177,2.453299520600717,2.482827634185974
0.41,2.4791893135148992,2.437169832323469,2.4893421822886848,2.418724701020478,2.449052735336531
0.42,2.400804238362409,2.396062597399798,2.447247373388839,2.3847540518781667,2.416829606892635
0.43,2.377587837908778,2.3598226903023245,2.4034860491569057,2.350865601056891,2.387102659830744
0.44,2.3702750519129077,2.340182025698248,2.389450644797507,2.3165349162693194,2.3579389177092493
0.45,2.3555405791700497,2.29765401053192,2.335991573501859,2.282471389767578,2.3287200205214647
0.46,2.2936012871500857,2.268186925522616,2.2975841974035602,2.248235662268134,2.3006345501604777
0.47,2.321902958985543,2.2386345108791788,2.2570115980943406,2.2135383235582213,2.2706088808967015
0.48,2.2306865585318434,2.205035139815114,2.2053232980199517,2.1786473479672512,2.2391123185540223
0.49,2.222614736391432,2.185371057594705,2.1785707403161845,2.143567208358974,2.2045032690840847
0.5,2.2114103841305,2.15481201302024,2.1545292914908676,2.108465215578026,2.168502431898581
0.51,2.1906879595804125,2.119902202773824,2.1133828805068955,2.0735215402913094,2.1354274857424866
0.52,2.089182402500206,2.0988271206816815,2.02516772619457,2.0384751835834236,2.100740286280135
0.53,2.0516166044561426,2.055121435214931,1.9946898860071478,2.0032211487492484,2.063493795057928
0.54,2.0014002040024406,2.008422045498808,1.9167681843369515,1.967946864533136,2.0303495749492577
0.55,1.9892560927053673,1.958704103605864,1.8967392362842816,1.9331130193581898,1.9979766636593017
0.56,1.9610396922516662,1.923897370015215,1.8468518350035406,1.8987540095932216,1.9656878046763895
0.57,1.9357148580630288,1.8896764507941566,1.8084865061481594,1.8648655548378417,1.9281330481439112
0.58,1.8841731564045077,1.8622428585258268,1.7827884119806343,1.8312636867286471,1.8957392550908772
0.59,1.8747037439027225,1.8452097041575142,1.7531045853470333,1.7980772023330491,1.864318424069547
0.6,1.8049210783887817,1.7998554796525006,1.7059331137095763,1.7654939719945877,1.8339575973757956
0.61,1.762680581549537,1.7822117341499588,1.6501553340309882,1.732438368831387,1.8048495080233105
0.62,1.7415967112163238,1.7544226193297996,1.59507000538807,1.698686140160555,1.7757699508162104
0.63,1.6680791059433118,1.727974513496492,1.55996232801351,1.664555268041183,1.7467243987990633
0.64,1.6377904163329875,1.691595099798144,1.4929626913611591,1.6300098219258914,1.7162950979710614
0.65,1.6337788351563967,1.6690142939019506,1.4634970000541379,1.5949545115901804,1.6863502456192805
0.66,1.5900684587990794,1.6246543371712112,1.419382403298439,1.5599435433551903,1.6572160700043133
0.67,1.5925508535261017,1.5967155676334774,1.3741561260434019,1.5256316892859358,1.6271784345910298
0.68,1.5363826458434857,1.570923815201566,1.3305014069893624,1.4918267962085892,1.598769767449103
0.69,1.4548409441849766,1.5388120176304,1.2860022735281438,1.4584423580764856,1.5702352634090022
0.7,1.4848896039722383,1.5009744797527231,1.2377087173665833,1.4248814216897414,1.5404473631316877
0.71,1.4253599505064913,1.4494687048241757,1.207012840976277,1.3917180469382608,1.5099671367371605
0.72,1.376938730775756,1.426953038615861,1.162100775949238,1.3581524585393896,1.4791716333092986
0.73,1.315192209840126,1.3975291966398666,1.116944023304502,1.3236699399415879,1.4478887486765424
0.74,1.30899990577197,1.3808897825544204,1.0934069506091135,1.2885739194012702,1.4159450649706222
0.75,1.343735312547159,1.337756515476847,1.0718700447070504,1.2528042193329656,1.3848575247552306
0.76,1.180832165105506,1.291421120652432,1.0434959640720094,1.2164072840521485,1.3515579543233098
0.77,1.1563627526036133,1.2578374232331693,1.002348936684857,1.179820040276377,1.3176345909216904
0.78,1.1393873160053358,1.2132228515202819,0.9536730410619393,1.1424796902447572,1.2836106943051577
0.79,1.0814600721781435,1.145473460700946,0.9098186567911847,1.1046331102278069,1.2519011948457943
0.8,1.0599304187123988,1.1126780127455478,0.8564338387752173,1.0658167676790213,1.2167117038486752
0.81,1.0110031748851998,1.0835631949343232,0.8142910413609566,1.0257298559917642,1.1801229717218955
